Date,Open,High,Low,Close,Adj Close,Volume
2008-12-15,4000.000000,4600.000000,4000.000000,4500.000000,3042.062988,991000
2008-12-16,4450.000000,5400.000000,4450.000000,5400.000000,3650.474854,2689000
2008-12-17,5500.000000,5700.000000,4950.000000,4950.000000,3346.269531,1974500
2008-12-18,4900.000000,4900.000000,4525.000000,4550.000000,3075.863525,701000
2008-12-19,4350.000000,4500.000000,4225.000000,4350.000000,2940.661377,4
2008-12-22,4250.000000,4600.000000,4225.000000,4575.000000,3092.764648,2043000
2008-12-23,4425.000000,4700.000000,4350.000000,4425.000000,2991.361572,4
2008-12-24,4425.000000,4575.000000,4275.000000,4425.000000,2991.361572,538500
2008-12-30,4250.000000,4400.000000,4250.000000,4250.000000,2873.059570,4
2008-12-31,4250.000000,4250.000000,4250.000000,4250.000000,2873.059570,0
2009-01-05,4425.000000,4500.000000,4375.000000,4425.000000,2991.361572,4
2009-01-06,4425.000000,4500.000000,4375.000000,4425.000000,2991.361572,481500
2009-01-07,4575.000000,4675.000000,4425.000000,4575.000000,3092.764648,4
2009-01-08,4600.000000,4600.000000,4475.000000,4600.000000,3109.664307,4
2009-01-09,4600.000000,4900.000000,4600.000000,4875.000000,3295.568115,787000
2009-01-12,4775.000000,4900.000000,4700.000000,4775.000000,3227.966797,4
2009-01-13,4900.000000,4975.000000,4800.000000,4900.000000,3312.468994,4
2009-01-14,4900.000000,5000.000000,4800.000000,4900.000000,3312.468994,4
2009-01-15,4700.000000,4850.000000,4600.000000,4700.000000,3177.265869,4
2009-01-16,4725.000000,4725.000000,4700.000000,4725.000000,3194.166016,4
2009-01-19,4675.000000,4750.000000,4675.000000,4675.000000,3160.365479,4
2009-01-20,4600.000000,4625.000000,4600.000000,4600.000000,3109.664307,4
2009-01-21,4625.000000,4700.000000,4600.000000,4625.000000,3126.564941,4
2009-01-22,4650.000000,4700.000000,4625.000000,4650.000000,3143.465088,4
2009-01-23,4600.000000,4900.000000,4600.000000,4875.000000,3295.568115,431500
2009-01-27,4975.000000,5050.000000,4950.000000,4975.000000,3363.169434,4
2009-01-28,5075.000000,5075.000000,4975.000000,5075.000000,3430.770996,4
2009-01-29,5150.000000,5250.000000,5100.000000,5150.000000,3481.471680,4
2009-01-30,5050.000000,5400.000000,5050.000000,5400.000000,3650.474854,457000
2009-02-02,5350.000000,5950.000000,5350.000000,5950.000000,4022.282959,1159000
2009-02-03,5950.000000,5950.000000,5550.000000,5650.000000,3819.479004,533000
2009-02-04,6000.000000,6250.000000,5750.000000,6000.000000,4056.083252,4
